Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
20045884,UNI,Neighbors - UNI,,R,05/09/14,,"$150,157,400","$120,500,000","$270,657,400",3279,"$49,033,915",3,3.10,2.30,1:36,Comedy,73,B,Wide,
20057488,TRB,Palo Alto,,R,05/09/14,,"$767,732","$38,327","$806,059",4,"$63,461",3,,,1:38,Drama,82,,Exclusive,
20055932,MAG,Stage Fright - MAG,,R,05/09/14,,"$7,078",,"$7,078",11,"$3,562",3,,,1:28,Horror,32,,Limited,
20032144,WB,Godzilla - WB,IMAX 3D,PG13,05/16/14,LGY,"$200,687,000","$329,490,627","$530,177,627",3952,"$93,188,384",3,2.20,1.70,2:03,"Act/Adv, Sci/Fant",73,B+,Wide,
20051108,WEI,"Immigrant, The",,R,05/16/14,,"$2,210,962","$4,166,144","$6,377,106",3,"$44,064",3,,,1:57,"Drama, Period",86,,Exclusive,
20045904,DIS,Million Dollar Arm,,PG,05/16/14,,"$36,457,627","$2,800,000","$39,257,627",3019,"$10,515,659",3,3.50,2.70,2:04,"Sports, Drama",61,A-,Wide,
20054269,FAC,"Angriest Man In Brooklyn, The",,R,05/23/14,,,"$860,565","$860,565",,,4,,,1:23,Dark Com,,,Limited,
20030977,WB,Blended,,PG13,05/23/14,,"$46,294,610","$81,748,962","$128,043,572",3555,"$17,735,205",4,2.60,2.20,1:57,Rom Com,14,A-,Wide,
20055490,IFC,Cold In July,,R,05/23/14,,"$423,223","$507,009","$930,232",6,,4,,,1:40,"Drama, Susp/Th",86,,Exclusive,NYC
20057269,IFC,Gore Vidal: United States Of Amnesia,,NR,05/23/14,,"$135,554",,"$135,554",2,,4,,,1:29,Doc,,,Exclusive,NYC
20056268,OSC,Stand Clear Of The Closing Doors,,NR,05/23/14,,"$15,884",,"$15,884",1,,4,,,1:40,Drama,96,,Limited,
20053048,ROA,Words and Pictures,,PG13,05/23/14,,"$2,171,257","$1,200,000","$3,371,257",10,"$115,436",4,,,1:56,Rom Dram,39,,Limited,
20044585,FOX,X-Men: Days Of Future Past,3D,PG13,05/23/14,MVL,"$233,921,534","$513,900,000","$747,821,534",3996,"$110,576,604",4,2.10,1.80,2:11,"Act/Adv, Sci/Fant",92,A,Wide,
20058928,FOC,Under The Electric Sky,3D,PG13,05/29/14,,"$204,150",,"$204,150",9,,4,,,1:29,Doc,,,Limited,
20054668,MAG,Filth,,R,05/30/14,,"$34,411",,"$34,411",3,"$7,526",3,,,1:37,"Dark Com, Drama",,,Exclusive,
